year,category,film,name,result,gender,birthday
1956,Directing,East of Eden,Elia Kazan,Nominee,Male,1909
1956,Directing,Picnic,Joshua Logan,Nominee,Male,1908
1956,Directing,Summertime,David Lean,Nominee,Male,1908
1957,Actor,The King and I,Yul Brynner,Winner,Male,1920
1957,Actor,Giant,James Dean,Nominee,Male,1931
1957,Actor,Lust for Life,Kirk Douglas,Nominee,Male,1916
1957,Actor,Giant,Rock Hudson,Nominee,Male,1925
1957,Actor,Richard III,Laurence Olivier,Nominee,Male,1907
1957,Actress,Anastasia,Ingrid Bergman,Winner,Female,1915
1957,Actress,Baby Doll,Carroll Baker,Nominee,Female,1931
1957,Actress,The Rainmaker,Katharine Hepburn,Nominee,Female,1907
1957,Actress,The Bad Seed,Nancy Kelly,Nominee,Female,1921
1957,Actress,The King and I,Deborah Kerr,Nominee,Female,1921
1957,Directing,Giant,George Stevens,Winner,Male,1904
1957,Directing,Around the World in 80 Days,Michael Anderson,Nominee,Male,1920
1957,Directing,Friendly Persuasion,William Wyler,Nominee,Male,1902
1957,Directing,The King and I,Walter Lang,Nominee,Male,1896
1957,Directing,War and Peace,King Vidor,Nominee,Male,1894
1958,Actor,The Bridge on the River Kwai,Alec Guinness,Winner,Male,1914
1958,Actor,Sayonara,Marlon Brando,Nominee,Male,1924
1958,Actor,A Hatful of Rain,Anthony Franciosa,Nominee,Male,1928
1958,Actor,Witness for the Prosecution,Charles Laughton,Nominee,Male,1899
1958,Actor,Wild Is the Wind,Anthony Quinn,Nominee,Male,1915
1958,Actress,The Three Faces of Eve,Joanne Woodward,Winner,Female,1930
1958,Actress,"Heaven Knows, Mr. Allison",Deborah Kerr,Nominee,Female,1921
1958,Actress,Wild Is the Wind,Anna Magnani,Nominee,Female,1908
1958,Actress,Raintree County,Elizabeth Taylor,Nominee,Female,1932
1958,Actress,Peyton Place,Lana Turner,Nominee,Female,1921
1958,Directing,The Bridge on the River Kwai,David Lean,Winner,Male,1908
1958,Directing,Peyton Place,Mark Robson,Nominee,Male,1913
1958,Directing,Sayonara,Joshua Logan,Nominee,Male,1908
1958,Directing,12 Angry Men,Sidney Lumet,Nominee,Male,1924
1958,Directing,Witness for the Prosecution,Billy Wilder,Nominee,Male,1906
1959,Actor,Separate Tables,David Niven,Winner,Male,1910
1959,Actor,The Defiant Ones,Tony Curtis,Nominee,Male,1925
1959,Actor,Cat on a Hot Tin Roof,Paul Newman,Nominee,Male,1925
1959,Actor,The Defiant Ones,Sidney Poitier,Nominee,Male,1927
1959,Actor,The Old Man and the Sea,Spencer Tracy,Nominee,Male,1900
1959,Actress,I Want to Live!,Susan Hayward,Winner,Female,1917
1959,Actress,Separate Tables,Deborah Kerr,Nominee,Female,1921
1959,Actress,Some Came Running,Shirley MacLaine,Nominee,Female,1934
1959,Actress,Auntie Mame,Rosalind Russell,Nominee,Female,1907
1959,Actress,Cat on a Hot Tin Roof,Elizabeth Taylor,Nominee,Female,1932
1959,Directing,Gigi,Vincente Minnelli,Winner,Male,1903
1959,Directing,Cat on a Hot Tin Roof,Richard Brooks,Nominee,Male,1912
1959,Directing,The Defiant Ones,Stanley Kramer,Nominee,Male,1913
1959,Directing,I Want to Live!,Robert Wise,Nominee,Male,1914
1959,Directing,The Inn of the Sixth Happiness,Mark Robson,Nominee,Male,1913
1960,Actor,Ben-Hur,Charlton Heston,Winner,Male,1923
1960,Actor,Room at the Top,Laurence Harvey,Nominee,Male,1928
1960,Actor,Some Like It Hot,Jack Lemmon,Nominee,Male,1925
1960,Actor,The Last Angry Man,Paul Muni,Nominee,Male,1895
1960,Actor,Anatomy of a Murder,James Stewart,Nominee,Male,1908
1960,Actress,Room at the Top,Simone Signoret,Winner,Female,1921
1960,Actress,Pillow Talk,Doris Day,Nominee,Female,1922
1960,Actress,The Nun's Story,Audrey Hepburn,Nominee,Female,1929
1960,Actress,"Suddenly, Last Summer",Katharine Hepburn,Nominee,Female,1907
1960,Actress,"Suddenly, Last Summer",Elizabeth Taylor,Nominee,Female,1932
1960,Directing,Ben-Hur,William Wyler,Winner,Male,1902
1960,Directing,The Diary of Anne Frank,George Stevens,Nominee,Male,1904
1960,Directing,The Nun's Story,Fred Zinnemann,Nominee,Male,1907
1960,Directing,Room at the Top,Jack Clayton,Nominee,Male,1921
1960,Directing,Some Like It Hot,Billy Wilder,Nominee,Male,1906
1961,Actor,Elmer Gantry,Burt Lancaster,Winner,Male,1913
1961,Actor,Sons and Lovers,Trevor Howard,Nominee,Male,1913
1961,Actor,The Apartment,Jack Lemmon,Nominee,Male,1925
1961,Actor,The Entertainer,Laurence Olivier,Nominee,Male,1907
1961,Actor,Inherit the Wind,Spencer Tracy,Nominee,Male,1900
1961,Actress,Butterfield 8,Elizabeth Taylor,Winner,Female,1932
1961,Actress,Sunrise at Campobello,Greer Garson,Nominee,Female,1904
1961,Actress,The Sundowners,Deborah Kerr,Nominee,Female,1921
1961,Actress,The Apartment,Shirley MacLaine,Nominee,Female,1934
1961,Actress,Never on Sunday,Melina Mercouri,Nominee,Female,1920
1961,Directing,The Apartment,Billy Wilder,Winner,Male,1906
1961,Directing,Never on Sunday,Jules Dassin,Nominee,Male,1911
1961,Directing,Psycho,Alfred Hitchcock,Nominee,Male,1899
1961,Directing,Sons and Lovers,Jack Cardiff,Nominee,Male,1914
1961,Directing,The Sundowners,Fred Zinnemann,Nominee,Male,1907
1962,Actor,Judgment at Nuremberg,Maximilian Schell,Winner,Male,1930
1962,Actor,Fanny,Charles Boyer,Nominee,Male,1899
1962,Actor,The Hustler,Paul Newman,Nominee,Male,1925
1962,Actor,Judgment at Nuremberg,Spencer Tracy,Nominee,Male,1900
1962,Actor,The Mark,Stuart Whitman,Nominee,Male,1928
1962,Actress,Two Women,Sophia Loren,Winner,Female,1934
1962,Actress,Breakfast at Tiffany's,Audrey Hepburn,Nominee,Female,1929
1962,Actress,The Hustler,Piper Laurie,Nominee,Female,1932
1962,Actress,Summer and Smoke,Geraldine Page,Nominee,Female,1924
1962,Actress,Splendor in the Grass,Natalie Wood,Nominee,Female,1938
1962,Directing,West Side Story,Robert Wise,Winner,Male,1914
1962,Directing,The Guns of Navarone,J. Lee Thompson,Nominee,Male,1914
1962,Directing,The Hustler,Robert Rossen,Nominee,Male,1908
1962,Directing,Judgment at Nuremberg,Stanley Kramer,Nominee,Male,1913
1962,Directing,La Dolce Vita,Federico Fellini,Nominee,Male,1920
1963,Actor,To Kill a Mockingbird,Gregory Peck,Winner,Male,1916
1963,Actor,Birdman of Alcatraz,Burt Lancaster,Nominee,Male,1913
1963,Actor,Days of Wine and Roses,Jack Lemmon,Nominee,Male,1925
1963,Actor,Divorce--Italian Style,Marcello Mastroianni,Nominee,Male,1924
1963,Actor,Lawrence of Arabia,Peter O'Toole,Nominee,Male,1932
1963,Actress,The Miracle Worker,Anne Bancroft,Winner,Female,1931
1963,Actress,What Ever Happened to Baby Jane?,Bette Davis,Nominee,Female,1908
1963,Actress,Long Day's Journey into Night,Katharine Hepburn,Nominee,Female,1907
1963,Actress,Sweet Bird of Youth,Geraldine Page,Nominee,Female,1924
1963,Actress,Days of Wine and Roses,Lee Remick,Nominee,Female,1935
1963,Directing,Lawrence of Arabia,David Lean,Winner,Male,1908
1963,Directing,David and Lisa,Frank Perry,Nominee,Male,1930
1963,Directing,Divorce--Italian Style,Pietro Germi,Nominee,Male,1914
1963,Directing,The Miracle Worker,Arthur Penn,Nominee,Male,1922
1963,Directing,To Kill a Mockingbird,Robert Mulligan,Nominee,Male,1925
1964,Actor,Lilies of the Field,Sidney Poitier,Winner,Male,1927
1964,Actor,Tom Jones,Albert Finney,Nominee,Male,1936
1964,Actor,This Sporting Life,Richard Harris,Nominee,Male,1930
1964,Actor,Cleopatra,Rex Harrison,Nominee,Male,1908
1964,Actor,Hud,Paul Newman,Nominee,Male,1925
1964,Actress,Hud,Patricia Neal,Winner,Female,1926
1964,Actress,The L-Shaped Room,Leslie Caron,Nominee,Female,1931
1964,Actress,Irma La Douce,Shirley MacLaine,Nominee,Female,1934
1964,Actress,This Sporting Life,Rachel Roberts,Nominee,Female,1927
1964,Actress,Love with the Proper Stranger,Natalie Wood,Nominee,Female,1938
1964,Directing,Tom Jones,Tony Richardson,Winner,Male,1928
1964,Directing,America America,Elia Kazan,Nominee,Male,1909
1964,Directing,The Cardinal,Otto Preminger,Nominee,Male,1906
1964,Directing,Federico Fellini's 8-1/2,Federico Fellini,Nominee,Male,1920
1964,Directing,Hud,Martin Ritt,Nominee,Male,1914
1965,Actor,My Fair Lady,Rex Harrison,Winner,Male,1908
1965,Actor,Becket,Richard Burton,Nominee,Male,1925
1965,Actor,Becket,Peter O'Toole,Nominee,Male,1932
1965,Actor,Zorba the Greek,Anthony Quinn,Nominee,Male,1915
1965,Actor,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter Sellers,Nominee,Male,1925
1965,Actress,Mary Poppins,Julie Andrews,Winner,Female,1935
1965,Actress,The Pumpkin Eater,Anne Bancroft,Nominee,Female,1931
1965,Actress,Marriage Italian Style,Sophia Loren,Nominee,Female,1934
1965,Actress,The Unsinkable Molly Brown,Debbie Reynolds,Nominee,Female,1932
1965,Actress,Seance on a Wet Afternoon,Kim Stanley,Nominee,Female,1925
1965,Directing,My Fair Lady,George Cukor,Winner,Male,1899
1965,Directing,Becket,Peter Glenville,Nominee,Male,1913
1965,Directing,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Nominee,Male,1928
1965,Directing,Mary Poppins,Robert Stevenson,Nominee,Male,1905
1965,Directing,Zorba the Greek,Mihalis Kakogiannis,Nominee,Male,1922
1966,Actor,Cat Ballou,Lee Marvin,Winner,Male,1924
1966,Actor,The Spy Who Came In from the Cold,Richard Burton,Nominee,Male,1925
1966,Actor,Othello,Laurence Olivier,Nominee,Male,1907
1966,Actor,The Pawnbroker,Rod Steiger,Nominee,Male,1925
1966,Actor,Ship of Fools,Oskar Werner,Nominee,Male,1922
1966,Actress,Darling,Julie Christie,Winner,Female,1941
1966,Actress,The Sound of Music,Julie Andrews,Nominee,Female,1935
1966,Actress,The Collector,Samantha Eggar,Nominee,Female,1939
1966,Actress,A Patch of Blue,Elizabeth Hartman,Nominee,Female,1943
1966,Actress,Ship of Fools,Simone Signoret,Nominee,Female,1921
1966,Directing,The Sound of Music,Robert Wise,Winner,Male,1914
1966,Directing,The Collector,William Wyler,Nominee,Male,1902
1966,Directing,Darling,John Schlesinger,Nominee,Male,1926
1966,Directing,Doctor Zhivago,David Lean,Nominee,Male,1908
1966,Directing,Woman in the Dunes,Hiroshi Teshigahara,Nominee,Male,1927
1967,Actor,A Man for All Seasons,Paul Scofield,Winner,Male,1922
1967,Actor,The Russians Are Coming The Russians Are Coming,Alan Arkin,Nominee,Male,1934
1967,Actor,Who's Afraid of Virginia Woolf?,Richard Burton,Nominee,Male,1925
1967,Actor,Alfie,Michael Caine,Nominee,Male,1933
1967,Actor,The Sand Pebbles,Steve McQueen,Nominee,Male,1930
1967,Actress,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,Winner,Female,1932
1967,Actress,A Man and a Woman,Anouk Aimee,Nominee,Female,1932
1967,Actress,The Shop on Main Street,Ida Kaminska,Nominee,Female,1899
1967,Actress,Georgy Girl,Lynn Redgrave,Nominee,Female,1943
1967,Actress,Morgan!,Vanessa Redgrave,Nominee,Female,1937
1967,Directing,A Man for All Seasons,Fred Zinnemann,Winner,Male,1907
1967,Directing,Blow-Up,Michelangelo Antonioni,Nominee,Male,1912
1967,Directing,A Man and a Woman,Claude Lelouch,Nominee,Male,1937
1967,Directing,The Professionals,Richard Brooks,Nominee,Male,1912
1967,Directing,Who's Afraid of Virginia Woolf?,Mike Nichols,Nominee,Male,1931
1968,Actor,In the Heat of the Night,Rod Steiger,Winner,Male,1925
1968,Actor,Bonnie and Clyde,Warren Beatty,Nominee,Male,1937
1968,Actor,The Graduate,Dustin Hoffman,Nominee,Male,1937
1968,Actor,Cool Hand Luke,Paul Newman,Nominee,Male,1925
1968,Actor,Guess Who's Coming to Dinner,Spencer Tracy,Nominee,Male,1900
1968,Actress,Guess Who's Coming to Dinner,Katharine Hepburn,Winner,Female,1907
1968,Actress,The Graduate,Anne Bancroft,Nominee,Female,1931
1968,Actress,Bonnie and Clyde,Faye Dunaway,Nominee,Female,1941
1968,Actress,The Whisperers,Edith Evans,Nominee,Female,1888
1968,Actress,Wait until Dark,Audrey Hepburn,Nominee,Female,1929
1968,Directing,The Graduate,Mike Nichols,Winner,Male,1931
1968,Directing,Bonnie and Clyde,Arthur Penn,Nominee,Male,1922
1968,Directing,Guess Who's Coming to Dinner,Stanley Kramer,Nominee,Male,1913
1968,Directing,In Cold Blood,Richard Brooks,Nominee,Male,1912
1968,Directing,In the Heat of the Night,Norman Jewison,Nominee,Male,1926
1969,Actor,Charly,Cliff Robertson,Winner,Male,1923
1969,Actor,The Heart Is a Lonely Hunter,Alan Arkin,Nominee,Male,1934
1969,Actor,The Fixer,Alan Bates,Nominee,Male,1934
1969,Actor,Oliver!,Ron Moody,Nominee,Male,1924
1969,Actor,The Lion in Winter,Peter O'Toole,Nominee,Male,1932
1969,Actress,The Lion in Winter,Katharine Hepburn,Tie-winner,Female,1907
1969,Actress,Funny Girl,Barbra Streisand,Tie-winner,Female,1942
1969,Actress,The Subject Was Roses,Patricia Neal,Nominee,Female,1926
1969,Actress,Isadora,Vanessa Redgrave,Nominee,Female,1937
1969,Actress,"Rachel, Rachel",Joanne Woodward,Nominee,Female,1930
1969,Directing,Oliver!,Carol Reed,Winner,Male,1906
1969,Directing,The Battle of Algiers,Gillo Pontecorvo,Nominee,Male,1919
1969,Directing,The Lion in Winter,Anthony Harvey,Nominee,Male,1931
1969,Directing,Romeo and Juliet,Franco Zeffirelli,Nominee,Male,1923
1969,Directing,2001: A Space Odyssey,Stanley Kubrick,Nominee,Male,1928
1970,Actor,True Grit,John Wayne,Winner,Male,1907
1970,Actor,Anne of the Thousand Days,Richard Burton,Nominee,Male,1925
1970,Actor,Midnight Cowboy,Dustin Hoffman,Nominee,Male,1937
1970,Actor,"Goodbye, Mr. Chips",Peter O'Toole,Nominee,Male,1932
