year,category,film,name,result,gender,birthday,genreids,original_language
1930,Outstanding Picture,The Broadway Melody,Metro-Goldwyn-Mayer,Winner,,,"[18, 10402, 10749]",en
1930,Outstanding Picture,Alibi,Feature Productions,Nominee,,,"[28, 80, 53]",en
1930,Outstanding Picture,In Old Arizona,Fox,Nominee,,,"[28, 37]",en
1930,Outstanding Picture,The Hollywood Revue of 1929,Metro-Goldwyn-Mayer,Nominee,,,"[35, 10402]",en
1930,Outstanding Picture,The Patriot,Paramount Famous Lasky,Nominee,,,[18],en
1931,Outstanding Production,All Quiet on the Western Front,Universal,Winner,,,"[18, 10752]",en
1931,Outstanding Production,The Big House,Cosmopolitan,Nominee,,,"[80, 18]",en
1931,Outstanding Production,Disraeli,Warner Bros.,Nominee,,,"[18, 36]",en
1931,Outstanding Production,The Divorcee,Metro-Goldwyn-Mayer,Nominee,,,"[18, 10749]",en
1931,Outstanding Production,The Love Parade,Paramount Famous Lasky,Nominee,,,"[35, 10749]",en
1932,Outstanding Production,Cimarron,RKO Radio,Winner,,,"[18, 37, 36]",en
1932,Outstanding Production,East Lynne,Fox,Nominee,,,[18],en
1932,Outstanding Production,The Front Page,The Caddo Company,Nominee,,,"[35, 80, 18, 10749]",en
1932,Outstanding Production,Skippy,Paramount Publix,Nominee,,,"[18, 10751, 35]",en
1932,Outstanding Production,Trader Horn,Metro-Goldwyn-Mayer,Nominee,,,"[28, 12]",en
1933,Outstanding Production,Grand Hotel,Metro-Goldwyn-Mayer,Winner,,,"[18, 10749]",en
1933,Outstanding Production,Arrowsmith,Samuel Goldwyn Productions,Nominee,,,[18],en
1933,Outstanding Production,Bad Girl,Fox,Nominee,,,[10749],en
1933,Outstanding Production,The Champ,Metro-Goldwyn-Mayer,Nominee,,,[18],en
1933,Outstanding Production,Five Star Final,First National,Nominee,,,"[80, 18]",en
1933,Outstanding Production,One Hour with You,Paramount Publix,Nominee,,,"[35, 10749]",en
1933,Outstanding Production,Shanghai Express,Paramount Publix,Nominee,,,"[10749, 18, 12, 53]",en
1933,Outstanding Production,The Smiling Lieutenant,Paramount Publix,Nominee,,,"[35, 10749]",en
1934,Outstanding Production,Cavalcade,Fox,Winner,,,"[18, 10752]",en
1934,Outstanding Production,A Farewell to Arms,Paramount,Nominee,,,"[18, 10749, 10752]",en
1934,Outstanding Production,42nd Street,Warner Bros.,Nominee,,,"[35, 10402, 10749]",en
1934,Outstanding Production,I Am a Fugitive from a Chain Gang,Warner Bros.,Nominee,,,"[80, 18]",en
1934,Outstanding Production,Lady for a Day,Columbia,Nominee,,,"[35, 18]",en
1934,Outstanding Production,Little Women,RKO Radio,Nominee,,,"[18, 10751]",en
1934,Outstanding Production,The Private Life of Henry VIII,London Films,Nominee,,,"[35, 18, 10749, 36]",en
1934,Outstanding Production,She Done Him Wrong,Paramount,Nominee,,,[35],en
1934,Outstanding Production,Smilin' Through,Metro-Goldwyn-Mayer,Nominee,,,"[18, 10749]",en
1934,Outstanding Production,State Fair,Fox,Nominee,,,"[35, 18, 10749]",en
1935,Outstanding Production,It Happened One Night,Columbia,Winner,,,"[35, 10749]",en
1935,Outstanding Production,The Barretts of Wimpole Street,Metro-Goldwyn-Mayer,Nominee,,,"[18, 10749]",en
1935,Outstanding Production,Cleopatra,Paramount,Nominee,,,"[18, 10749, 10752, 36]",en
1935,Outstanding Production,Flirtation Walk,First National,Nominee,,,"[10402, 10749]",en
1935,Outstanding Production,The Gay Divorcee,RKO Radio,Nominee,,,"[35, 10749]",en
1935,Outstanding Production,Here Comes the Navy,Warner Bros.,Nominee,,,"[10752, 18]",en
1935,Outstanding Production,The House of Rothschild,20th Century,Nominee,,,"[18, 36]",en
1935,Outstanding Production,Imitation of Life,Universal,Nominee,,,"[18, 10749]",en
1935,Outstanding Production,One Night of Love,Columbia,Nominee,,,"[10402, 10749]",en
1935,Outstanding Production,The Thin Man,Metro-Goldwyn-Mayer,Nominee,,,"[35, 80, 9648]",en
1935,Outstanding Production,Viva Villa!,Metro-Goldwyn-Mayer,Nominee,,,[37],en
1935,Outstanding Production,The White Parade,Jesse L. Lasky (production company),Nominee,,,[18],en
1936,Outstanding Production,Mutiny on the Bounty,Metro-Goldwyn-Mayer,Winner,,,"[12, 18, 36]",en
1936,Outstanding Production,Alice Adams,RKO Radio,Nominee,,,"[35, 18, 10749]",en
1936,Outstanding Production,Broadway Melody of 1936,Metro-Goldwyn-Mayer,Nominee,,,"[10402, 10749]",en
1936,Outstanding Production,Captain Blood,Cosmopolitan,Nominee,,,"[28, 12]",en
1936,Outstanding Production,David Copperfield,Metro-Goldwyn-Mayer,Nominee,,,"[12, 18, 10749, 10751]",en
1936,Outstanding Production,The Informer,RKO Radio,Nominee,,,"[80, 18]",en
1936,Outstanding Production,Les Miserables,20th Century,Nominee,,,"[18, 36, 10749]",en
