year,category,film,name,result,gender,birthday,genreids,original_language
2002,Best Picture,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",Nominee,,,"[12, 14, 28]",en
2002,Best Picture,Moulin Rouge,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",Nominee,,,"[18, 10749, 10402]",en
2003,Best Picture,Chicago,"Martin Richards, Producer",Winner,,,"[35, 80, 18]",en
2003,Best Picture,Gangs of New York,"Alberto Grimaldi and Harvey Weinstein, Producers",Nominee,,,"[18, 36, 80]",en
2003,Best Picture,The Hours,"Scott Rudin and Robert Fox, Producers",Nominee,,,[18],en
2003,Best Picture,The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",Nominee,,,"[12, 14, 28]",en
2003,Best Picture,The Pianist,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",Nominee,,,"[18, 10752]",en
2004,Best Picture,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",Winner,,,"[12, 14, 28]",en
2004,Best Picture,Lost in Translation,"Ross Katz and Sofia Coppola, Producers",Nominee,,,"[35, 18, 10749]",en
2004,Best Picture,Master and Commander: The Far Side of the World,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",Nominee,,,"[12, 18, 10752]",en
2004,Best Picture,Mystic River,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",Nominee,,,"[53, 80, 18, 9648]",en
2004,Best Picture,Seabiscuit,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",Nominee,,,"[18, 36]",en
2005,Best Picture,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",Winner,,,[18],en
2005,Best Picture,The Aviator,"Michael Mann and Graham King, Producers",Nominee,,,[18],en
2005,Best Picture,Finding Neverland,"Richard N. Gladstein and Nellie Bellflower, Producers",Nominee,,,[18],en
2005,Best Picture,Ray,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",Nominee,,,"[18, 10402]",en
