year,category,film,name,result,gender,birthday,genreids,original_language
2020,Best Picture,Little Women,"Amy Pascal, Producer",Nominee,,,"[18, 10749]",en
2020,Best Picture,Marriage Story,"Noah Baumbach and David Heyman, Producers",Nominee,,,[18],en
2020,Best Picture,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",Nominee,,,"[10752, 18, 28, 53]",en
2020,Best Picture,Once upon a Time in Hollywood,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",Nominee,,,"[35, 18, 53]",en
2021,Best Picture,Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers",Winner,,,[18],en
2021,Best Picture,The Father,"David Parfitt, Jean-Louis Livi and Philippe Carcassonne, Producers",Nominee,,,[18],en
2021,Best Picture,Judas and the Black Messiah,"Shaka King, Charles D. King and Ryan Coogler, Producers",Nominee,,,"[18, 36]",en
2021,Best Picture,Mank,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers",Nominee,,,"[18, 36]",en
2021,Best Picture,Minari,"Christina Oh, Producer",Nominee,,,[18],en
2021,Best Picture,Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell and Josey McNamara, Producers",Nominee,,,"[53, 80, 18]",en
2021,Best Picture,Sound of Metal,"Bert Hamelinck and Sacha Ben Harroche, Producers",Nominee,,,"[18, 10402]",en
2021,Best Picture,The Trial of the Chicago 7,"Marc Platt and Stuart Besser, Producers",Nominee,,,"[18, 36]",en
