year,category,film,Studio/Creator(s),result,gender,birthdate
2020,Best Picture,"Kwak Sin Ae and Bong Joon Ho, Producers",Parasite,Winner,,
2020,Best Picture,"Peter Chernin, Jenno Topping and James Mangold, Producers",Ford v Ferrari,Nominee,,
2020,Best Picture,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",The Irishman,Nominee,,
2020,Best Picture,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers",Jojo Rabbit,Nominee,,
2020,Best Picture,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",Joker,Nominee,,
2020,Best Picture,"Amy Pascal, Producer",Little Women,Nominee,,
2020,Best Picture,"Noah Baumbach and David Heyman, Producers",Marriage Story,Nominee,,
2020,Best Picture,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",1917,Nominee,,
2020,Best Picture,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",Once upon a Time...in Hollywood,Nominee,,
2021,Best Picture,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers",Nomadland,Winner,,
2021,Best Picture,"David Parfitt, Jean-Louis Livi and Philippe Carcassonne, Producers",The Father,Nominee,,
2021,Best Picture,"Shaka King, Charles D. King and Ryan Coogler, Producers",Judas and the Black Messiah,Nominee,,
2021,Best Picture,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers",Mank,Nominee,,
2021,Best Picture,"Christina Oh, Producer",Minari,Nominee,,
2021,Best Picture,"Ben Browning, Ashley Fox, Emerald Fennell and Josey McNamara, Producers",Promising Young Woman,Nominee,,
2021,Best Picture,"Bert Hamelinck and Sacha Ben Harroche, Producers",Sound of Metal,Nominee,,
2021,Best Picture,"Marc Platt and Stuart Besser, Producers",The Trial of the Chicago 7,Nominee,,
2020,Production Design,Production Design: Barbara Ling; Set Decoration: Nancy Haigh,Once upon a Time...in Hollywood,Winner,,
2020,Production Design,Production Design: Bob Shaw; Set Decoration: Regina Graves,The Irishman,Nominee,,
2020,Production Design,Production Design: Ra Vincent; Set Decoration: Nora Sopková,Jojo Rabbit,Nominee,,
2020,Production Design,Production Design: Dennis Gassner; Set Decoration: Lee Sandales,1917,Nominee,,
2020,Production Design,Production Design: Lee Ha Jun; Set Decoration: Cho Won Woo,Parasite,Nominee,,
2021,Production Design,Production Design: Donald Graham Burt; Set Decoration: Jan Pascale,Mank,Winner,,
2021,Production Design,Production Design: Peter Francis; Set Decoration: Cathy Featherstone,The Father,Nominee,,
2021,Production Design,Production Design: Mark Ricker; Set Decoration: Karen O'Hara and Diana Stoughton,Ma Rainey's Black Bottom,Nominee,,
2021,Production Design,Production Design: David Crank; Set Decoration: Elizabeth Keenan,News of the World,Nominee,,
2021,Production Design,Production Design: Nathan Crowley; Set Decoration: Kathy Lucas,Tenet,Nominee,,
