year category name film result
1994 "Visual Effects" "Jurassic Park" "Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri" Winner
1994 "Visual Effects" Cliffhanger "Neil Krepela, John Richardson, John Bruno, Pamela Easley" Nominee
1994 "Visual Effects" "The Nightmare before Christmas" "Pete Kozachik, Eric Leighton, Ariel Velasco Shaw, Gordon Baker" Nominee
1995 "Foreign Language Film" "Burnt by the Sun" Russia Winner
1995 "Foreign Language Film" "Before the Rain" "The Former Yugoslav Republic of Macedonia" Nominee
1995 "Foreign Language Film" "Eat Drink Man Woman" Taiwan Nominee
1995 "Foreign Language Film" "Farinelli: Il Castrato" Belgium Nominee
1995 "Foreign Language Film" "Strawberry and Chocolate" Cuba Nominee
1995 "Visual Effects" "Forrest Gump" "Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall" Winner
1995 "Visual Effects" "The Mask" "Scott Squires, Steve Williams, Tom Bertino, Jon Farhat" Nominee
1995 "Visual Effects" "True Lies" "John Bruno, Thomas L. Fisher, Jacques Stroweis, Patrick McClung" Nominee
1996 "Foreign Language Film" "Antonia's Line" "The Netherlands" Winner
1996 "Foreign Language Film" "All Things Fair" Sweden Nominee
1996 "Foreign Language Film" "Dust of Life" Algeria Nominee
1996 "Foreign Language Film" "O Quatrilho" Brazil Nominee
1996 "Foreign Language Film" "The Star Maker" Italy Nominee
1996 "Visual Effects" "BabeApollo 13" "Scott E. Anderson, Charles Gibson, Neal Scanlan, John CoxRobert Legato, Michael Kanfer, Leslie Ekker, Matt Sweeney" Winner
1996 "Visual Effects" "Apollo 13" "Robert Legato, Michael Kanfer, Leslie Ekker, Matt Sweeney" Nominee
1997 "Foreign Language Film" Kolya "Czech Republic" Winner
1997 "Foreign Language Film" "A Chef in Love" Georgia Nominee
1997 "Foreign Language Film" "The Other Side of Sunday" Norway Nominee
1997 "Foreign Language Film" "Prisoner of the Mountains" Russia Nominee
1997 "Foreign Language Film" Ridicule France Nominee
1997 "Visual Effects" "Independence Day" "Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil" Winner
1997 "Visual Effects" Dragonheart "Scott Squires, Phil Tippett, James Straus, Kit West" Nominee
1997 "Visual Effects" Twister "Stefen Fangmeier, John Frazier, Habib Zargarpour, Henry La Bounta" Nominee
1998 "Foreign Language Film" Character "The Netherlands" Winner
1998 "Foreign Language Film" "Beyond Silence" Germany Nominee
1998 "Foreign Language Film" "Four Days in September" Brazil Nominee
1998 "Foreign Language Film" "Secrets of the Heart" Spain Nominee
1998 "Foreign Language Film" "The Thief" Russia Nominee
1998 "Visual Effects" Titanic "Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer" Winner
1998 "Visual Effects" "The Lost World: Jurassic Park" "Dennis Muren, Stan Winston, Randal M. Dutra, Michael Lantieri" Nominee
1998 "Visual Effects" "Starship Troopers" "Phil Tippett, Scott E. Anderson, Alec Gillis, John Richardson" Nominee
1999 "Foreign Language Film" "Life Is Beautiful" Italy Winner
1999 "Foreign Language Film" "Central Station" Brazil Nominee
1999 "Foreign Language Film" "Children of Heaven" Iran Nominee
1999 "Foreign Language Film" "The Grandfather" Spain Nominee
1999 "Foreign Language Film" Tango Argentina Nominee
1999 "Visual Effects" "What Dreams May Come" "Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack" Winner
1999 "Visual Effects" Armageddon "Richard R. Hoover, Pat McClung, John Frazier" Nominee
1999 "Visual Effects" "Mighty Joe Young" "Rick Baker, Hoyt Yeatman, Allen Hall, Jim Mitchell" Nominee
2000 "Foreign Language Film" "All about My Mother" Spain Winner
2000 "Foreign Language Film" Caravan Nepal Nominee
2000 "Foreign Language Film" East-West France Nominee
2000 "Foreign Language Film" "Solomon and Gaenor" "United Kingdom" Nominee
2000 "Foreign Language Film" "Under the Sun" Sweden Nominee
2000 "Visual Effects" "The Matrix" "John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum" Winner
2000 "Visual Effects" "Star Wars Episode I: The Phantom Menace" "John Knoll, Dennis Muren, Scott Squires, Rob Coleman" Nominee
2000 "Visual Effects" "Stuart Little" "John Dykstra, Jerome Chen, Henry F. Anderson III, Eric Allard" Nominee
2001 "Foreign Language Film" "Crouching Tiger, Hidden Dragon" Taiwan Winner
2001 "Foreign Language Film" "Amores Perros" Mexico Nominee
2001 "Foreign Language Film" "Divided We Fall" "Czech Republic" Nominee
2001 "Foreign Language Film" "Everybody Famous!" Belgium Nominee
2001 "Foreign Language Film" "The Taste of Others" France Nominee
2001 "Visual Effects" Gladiator "John Nelson, Neil Corbould, Tim Burke, Rob Harvey" Winner
2001 "Visual Effects" "Hollow Man" "Scott E. Anderson, Craig Hayes, Scott Stokdyk, Stan Parks" Nominee
2001 "Visual Effects" "The Perfect Storm" "Stefen Fangmeier, Habib Zargarpour, John Frazier, Walt Conti" Nominee
2002 "Foreign Language Film" "No Man's Land" "Bosnia & Herzegovina" Winner
2002 "Foreign Language Film" Amélie France Nominee
2002 "Foreign Language Film" Elling Norway Nominee
2002 "Foreign Language Film" Lagaan India Nominee
2002 "Foreign Language Film" "Son of the Bride" Argentina Nominee
2002 "Visual Effects" "The Lord of the Rings: The Fellowship of the Ring" "Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson" Winner
2002 "Visual Effects" "A.I. Artificial Intelligence" "Dennis Muren, Scott Farrar, Stan Winston, Michael Lantieri" Nominee
2002 "Visual Effects" "Pearl Harbor" "Eric Brevig, John Frazier, Ed Hirsh, Ben Snow" Nominee
2003 "Foreign Language Film" "Nowhere in Africa" Germany Winner
2003 "Foreign Language Film" "El Crimen del Padre Amaro" Mexico Nominee
2003 "Foreign Language Film" Hero "People's Republic of China" Nominee
2003 "Foreign Language Film" "The Man without a Past" Finland Nominee
2003 "Foreign Language Film" "Zus & Zo" "The Netherlands" Nominee
2003 "Visual Effects" "The Lord of the Rings: The Two Towers" "Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke" Winner
2003 "Visual Effects" Spider-Man "John Dykstra, Scott Stokdyk, Anthony LaMolinara, John Frazier" Nominee
2003 "Visual Effects" "Star Wars Episode II Attack of the Clones" "Rob Coleman, Pablo Helman, John Knoll, Ben Snow" Nominee
2004 "Foreign Language Film" "The Barbarian Invasions" Canada Winner
2004 "Foreign Language Film" Evil Sweden Nominee
2004 "Foreign Language Film" "The Twilight Samurai" Japan Nominee
2004 "Foreign Language Film" "Twin Sisters" "The Netherlands" Nominee
2004 "Foreign Language Film" Zelary "Czech Republic" Nominee
2004 "Visual Effects" "The Lord of the Rings: The Return of the King" "Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke" Winner
2004 "Visual Effects" "Master and Commander: The Far Side of the World" "Dan Sudick, Stefen Fangmeier, Nathan McGuinness and Robert Stromberg" Nominee
2004 "Visual Effects" "Pirates of the Caribbean: The Curse of the Black Pearl" "John Knoll, Hal Hickel, Charles Gibson and Terry Frazee" Nominee
2005 "Foreign Language Film" "The Sea Inside" Spain Winner
2005 "Foreign Language Film" "As It Is in Heaven" Sweden Nominee
2005 "Foreign Language Film" "The Chorus (Les Choristes)" France Nominee
2005 "Foreign Language Film" Downfall Germany Nominee
2005 "Foreign Language Film" Yesterday "South Africa" Nominee
2005 "Visual Effects" "Spider-Man 2" "John Dykstra, Scott Stokdyk, Anthony LaMolinara and John Frazier" Winner
2005 "Visual Effects" "Harry Potter and the Prisoner of Azkaban" "Roger Guyett, Tim Burke, John Richardson and Bill George" Nominee
2005 "Visual Effects" "I, Robot" "John Nelson, Andrew R. Jones, Erik Nash and Joe Letteri" Nominee
2006 "Foreign Language Film" Tsotsi "South Africa" Winner
2006 "Foreign Language Film" "Don't Tell" Italy Nominee
2006 "Foreign Language Film"  France Nominee
2006 "Foreign Language Film" "Paradise Now" "The Palestinian Territories" Nominee
2006 "Foreign Language Film" "Sophie Scholl - The Final Days" Germany Nominee
2006 "Visual Effects" "King Kong" "Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor" Winner
2006 "Visual Effects" "The Chronicles of Narnia: The Lion, the Witch and the Wardrobe" "Dean Wright, Bill Westenhofer, Jim Berney and Scott Farrar" Nominee
2006 "Visual Effects" "War of the Worlds" "Dennis Muren, Pablo Helman, Randal M. Dutra and Daniel Sudick" Nominee
2007 "Foreign Language Film" "The Lives of Others" Germany Winner
2007 "Foreign Language Film" "After the Wedding" Denmark Nominee
2007 "Foreign Language Film" "Days of Glory (Indigènes)" Algeria Nominee
2007 "Foreign Language Film" "Pan's Labyrinth" Mexico Nominee
2007 "Foreign Language Film" Water Canada Nominee
2007 "Visual Effects" "Pirates of the Caribbean: Dead Man's Chest" "John Knoll, Hal Hickel, Charles Gibson and Allen Hall" Winner
2007 "Visual Effects" Poseidon "Boyd Shermis, Kim Libreri, Chas Jarrett and John Frazier" Nominee
2007 "Visual Effects" "Superman Returns" "Mark Stetson, Neil Corbould, Richard R. Hoover and Jon Thum" Nominee
2008 "Foreign Language Film" "The Counterfeiters" Austria Winner
2008 "Foreign Language Film" Beaufort Israel Nominee
2008 "Foreign Language Film" Katyn Poland Nominee
2008 "Foreign Language Film" Mongol Kazakhstan Nominee
2008 "Foreign Language Film" 12 Russia Nominee
2008 "Visual Effects" "The Golden Compass" "Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood" Winner
2008 "Visual Effects" "Pirates of the Caribbean: At World's End" "John Knoll, Hal Hickel, Charles Gibson and John Frazier" Nominee
2008 "Visual Effects" Transformers "Scott Farrar, Scott Benza, Russell Earl and John Frazier" Nominee
2009 "Foreign Language Film" Departures Japan Winner
2009 "Foreign Language Film" "The Baader Meinhof Complex" Germany Nominee
2009 "Foreign Language Film" "The Class" France Nominee
2009 "Foreign Language Film" Revanche Austria Nominee
2009 "Foreign Language Film" "Waltz with Bashir" Israel Nominee
2009 "Visual Effects" "The Curious Case of Benjamin Button" "Eric Barba, Steve Preeg, Burt Dalton and Craig Barron" Winner
2009 "Visual Effects" "The Dark Knight" "Nick Davis, Chris Corbould, Tim Webber and Paul Franklin" Nominee
2009 "Visual Effects" "Iron Man" "John Nelson, Ben Snow, Dan Sudick and Shane Mahan" Nominee
2010 "Foreign Language Film" "The Secret in Their Eyes" Argentina Winner
2010 "Foreign Language Film" Ajami Israel Nominee
2010 "Foreign Language Film" "The Milk of Sorrow" Peru Nominee
2010 "Foreign Language Film" "A Prophet" France Nominee
2010 "Foreign Language Film" "The White Ribbon" Germany Nominee
2010 "Visual Effects" Avatar "Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones" Winner
2010 "Visual Effects" "District 9" "Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken" Nominee
2010 "Visual Effects" "Star Trek" "Roger Guyett, Russell Earl, Paul Kavanagh and Burt Dalton" Nominee
2011 "Foreign Language Film" "In a Better World" Denmark Winner
2011 "Foreign Language Film" Biutiful Mexico Nominee
2011 "Foreign Language Film" Dogtooth Greece Nominee
2011 "Foreign Language Film" Incendies Canada Nominee
2011 "Foreign Language Film" "Outside the Law (Hors-la-loi)" Algeria Nominee
2011 "Visual Effects" Inception "Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb" Winner
2011 "Visual Effects" "Alice in Wonderland" "Ken Ralston, David Schaub, Carey Villegas and Sean Phillips" Nominee
2011 "Visual Effects" "Harry Potter and the Deathly Hallows Part 1" "Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi" Nominee
2011 "Visual Effects" Hereafter "Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell" Nominee
2011 "Visual Effects" "Iron Man 2" "Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick" Nominee
2012 "Foreign Language Film" "A Separation" Iran Winner
2012 "Foreign Language Film" Bullhead Belgium Nominee
2012 "Foreign Language Film" Footnote Israel Nominee
2012 "Foreign Language Film" "In Darkness" Poland Nominee
2012 "Foreign Language Film" "Monsieur Lazhar" Canada Nominee
2012 "Visual Effects" Hugo "Rob Legato, Joss Williams, Ben Grossmann and Alex Henning" Winner
2012 "Visual Effects" "Harry Potter and the Deathly Hallows Part 2" "Tim Burke, David Vickery, Greg Butler and John Richardson" Nominee
2012 "Visual Effects" "Real Steel" "Erik Nash, John Rosengrant, Dan Taylor and Swen Gillberg" Nominee
2012 "Visual Effects" "Rise of the Planet of the Apes" "Joe Letteri, Dan Lemmon, R. Christopher White and Daniel Barrett" Nominee
2012 "Visual Effects" "Transformers: Dark of the Moon" "Scott Farrar, Scott Benza, Matthew Butler and John Frazier" Nominee
2013 "Foreign Language Film" Amour Austria Winner
2013 "Foreign Language Film" Kon-Tiki Norway Nominee
2013 "Foreign Language Film" No Chile Nominee
2013 "Foreign Language Film" "A Royal Affair" Denmark Nominee
2013 "Foreign Language Film" "War Witch" Canada Nominee
2013 "Visual Effects" "Life of Pi" "Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott" Winner
2013 "Visual Effects" "The Hobbit: An Unexpected Journey" "Joe Letteri, Eric Saindon, David Clayton and R. Christopher White" Nominee
2013 "Visual Effects" "Marvel's The Avengers" "Janek Sirrs, Jeff White, Guy Williams and Dan Sudick" Nominee
2013 "Visual Effects" Prometheus "Richard Stammers, Trevor Wood, Charley Henley and Martin Hill" Nominee
2013 "Visual Effects" "Snow White and the Huntsman" "Cedric Nicolas-Troyan, Philip Brennan, Neil Corbould and Michael Dawson" Nominee
2014 "Foreign Language Film" "The Great Beauty" Italy Winner
2014 "Foreign Language Film" "The Broken Circle Breakdown" Belgium Nominee
2014 "Foreign Language Film" "The Hunt" Denmark Nominee
2014 "Foreign Language Film" "The Missing Picture" Cambodia Nominee
2014 "Foreign Language Film" Omar Palestine Nominee
2014 "Visual Effects" Gravity "Tim Webber, Chris Lawrence, David Shirk and Neil Corbould" Winner
2014 "Visual Effects" "The Hobbit: The Desolation of Smaug" "Joe Letteri, Eric Saindon, David Clayton and Eric Reynolds" Nominee
2014 "Visual Effects" "Iron Man 3" "Christopher Townsend, Guy Williams, Erik Nash and Dan Sudick" Nominee
2014 "Visual Effects" "The Lone Ranger" "Tim Alexander, Gary Brozenich, Edson Williams and John Frazier" Nominee
2014 "Visual Effects" "Star Trek Into Darkness" "Roger Guyett, Patrick Tubach, Ben Grossmann and Burt Dalton" Nominee
2015 "Foreign Language Film" Ida Poland Winner
2015 "Foreign Language Film" Leviathan Russia Nominee
2015 "Foreign Language Film" Tangerines Estonia Nominee
2015 "Foreign Language Film" Timbuktu Mauritania Nominee
2015 "Foreign Language Film" "Wild Tales" Argentina Nominee
2015 "Visual Effects" Interstellar "Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher" Winner
2015 "Visual Effects" "Captain America: The Winter Soldier" "Dan DeLeeuw, Russell Earl, Bryan Grill and Dan Sudick " Nominee
2015 "Visual Effects" "Dawn of the Planet of the Apes" "Joe Letteri, Dan Lemmon, Daniel Barrett and Erik Winquist " Nominee
2015 "Visual Effects" "Guardians of the Galaxy" "Stephane Ceretti, Nicolas Aithadi, Jonathan Fawkner and Paul Corbould " Nominee
2015 "Visual Effects" "X-Men: Days of Future Past" "Richard Stammers, Lou Pecora, Tim Crosbie and Cameron Waldbauer" Nominee
2016 "Foreign Language Film" "Son of Saul" Hungary Winner
2016 "Foreign Language Film" "Embrace of the Serpent" Colombia Nominee
2016 "Foreign Language Film" Mustang France Nominee
2016 "Foreign Language Film" Theeb Jordan Nominee
2016 "Foreign Language Film" "A War" Denmark Nominee
2016 "Visual Effects" "Ex Machina" "Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett" Winner
2016 "Visual Effects" "Mad Max: Fury Road" "Andrew Jackson, Tom Wood, Dan Oliver and Andy Williams" Nominee
2016 "Visual Effects" "The Martian" "Richard Stammers, Anders Langlands, Chris Lawrence and Steven Warner" Nominee
2016 "Visual Effects" "The Revenant" "Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer" Nominee
2016 "Visual Effects" "Star Wars: The Force Awakens" "Roger Guyett, Patrick Tubach, Neal Scanlan and Chris Corbould" Nominee
2017 "Foreign Language Film" "The Salesman" Iran Winner
2017 "Foreign Language Film" "Land of Mine" Denmark Nominee
2017 "Foreign Language Film" "A Man Called Ove" Sweden Nominee
2017 "Foreign Language Film" Tanna Australia Nominee
2017 "Foreign Language Film" "Toni Erdmann" Germany Nominee
2017 "Visual Effects" "The Jungle Book" "Robert Legato, Adam Valdez, Andrew R. Jones and Dan Lemmon" Winner
2017 "Visual Effects" "Deepwater Horizon" "Craig Hammack, Jason Snell, Jason Billington and Burt Dalton" Nominee
2017 "Visual Effects" "Doctor Strange" "Stephane Ceretti, Richard Bluff, Vincent Cirelli and Paul Corbould" Nominee
2017 "Visual Effects" "Kubo and the Two Strings" "Steve Emerson, Oliver Jones, Brian McLean and Brad Schiff" Nominee
2017 "Visual Effects" "Rogue One: A Star Wars Story" "John Knoll, Mohen Leo, Hal Hickel and Neil Corbould" Nominee
2018 "Foreign Language Film" "A Fantastic Woman" Chile Winner
2018 "Foreign Language Film" "The Insult" Lebanon Nominee
2018 "Foreign Language Film" Loveless Russia Nominee
2018 "Foreign Language Film" "On Body and Soul" Hungary Nominee
2018 "Foreign Language Film" "The Square" Sweden Nominee
2018 "Visual Effects" "Blade Runner 2049" "John Nelson, Gerd Nefzer, Paul Lambert and Richard R. Hoover" Winner
2018 "Visual Effects" "Guardians of the Galaxy Vol. 2" "Christopher Townsend, Guy Williams, Jonathan Fawkner and Dan Sudick" Nominee
2018 "Visual Effects" "Kong: Skull Island" "Stephen Rosenbaum, Jeff White, Scott Benza and Mike Meinardus" Nominee
2018 "Visual Effects" "Star Wars: The Last Jedi" "Ben Morris, Mike Mulholland, Neal Scanlan and Chris Corbould" Nominee
2018 "Visual Effects" "War for the Planet of the Apes" "Joe Letteri, Daniel Barrett, Dan Lemmon and Joel Whist" Nominee
2019 "Foreign Language Film" Roma Mexico Winner
2019 "Foreign Language Film" Capernaum Lebanon Nominee
2019 "Foreign Language Film" "Cold War" Poland Nominee
2019 "Foreign Language Film" "Never Look Away" Germany Nominee
2019 "Foreign Language Film" Shoplifters Japan Nominee
2019 "Visual Effects" "First Man" "Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm" Winner
2019 "Visual Effects" "Avengers: Infinity War" "Dan DeLeeuw, Kelly Port, Russell Earl and Dan Sudick" Nominee
2019 "Visual Effects" "Christopher Robin" "Christopher Lawrence, Michael Eames, Theo Jones and Chris Corbould" Nominee
2019 "Visual Effects" "Ready Player One" "Roger Guyett, Grady Cofer, Matthew E. Butler and David Shirk" Nominee
2019 "Visual Effects" "Solo: A Star Wars Story" "Rob Bredow, Patrick Tubach, Neal Scanlan and Dominic Tuohy" Nominee
2020 "Visual Effects" 1917 "Guillaume Rocheron, Greg Butler and Dominic Tuohy" Winner
2020 "Visual Effects" "Avengers: Endgame" "Dan DeLeeuw, Russell Earl, Matt Aitken and Dan Sudick" Nominee
2020 "Visual Effects" "The Irishman" "Pablo Helman, Leandro Estebecorena, Nelson Sepulveda-Fauser and Stephane Grabli" Nominee
2020 "Visual Effects" "The Lion King" "Robert Legato, Adam Valdez, Andrew R. Jones and Elliot Newman" Nominee
2020 "Visual Effects" "Star Wars: The Rise of Skywalker" "Roger Guyett, Neal Scanlan, Patrick Tubach and Dominic Tuohy" Nominee
2021 "Visual Effects" Tenet "Andrew Jackson, David Lee, Andrew Lockley and Scott Fisher" Winner
2021 "Visual Effects" "Love and Monsters" "Matt Sloan, Genevieve Camilleri, Matt Everitt and Brian Cox" Nominee
2021 "Visual Effects" "The Midnight Sky" "Matthew Kasmir, Christopher Lawrence, Max Solomon and David Watkins" Nominee
2021 "Visual Effects" Mulan "Sean Faden, Anders Langlands, Seth Maury and Steve Ingram" Nominee
2021 "Visual Effects" "The One and Only Ivan" "Nick Davis, Greg Fisher, Ben Jones and Santiago Colomo Martinez" Nominee
year category film Studio/Creator(s) result
1930 "Outstanding Picture" "The Broadway Melody" Metro-Goldwyn-Mayer Winner
1930 "Outstanding Picture" Alibi "Feature Productions" Nominee
1930 "Outstanding Picture" "In Old Arizona" Fox Nominee
1930 "Outstanding Picture" "Hollywood Revue" Metro-Goldwyn-Mayer Nominee
1930 "Outstanding Picture" "The Patriot" "Paramount Famous Lasky" Nominee
1931 "Outstanding Production" "All Quiet on the Western Front" Universal Winner
1931 "Outstanding Production" "The Big House" Cosmopolitan Nominee
1931 "Outstanding Production" Disraeli "Warner Bros." Nominee
1931 "Outstanding Production" "The Divorcee" Metro-Goldwyn-Mayer Nominee
1931 "Outstanding Production" "The Love Parade" "Paramount Famous Lasky" Nominee
1932 "Outstanding Production" Cimarron "RKO Radio" Winner
1932 "Outstanding Production" "East Lynne" Fox Nominee
1932 "Outstanding Production" "The Front Page" "The Caddo Company" Nominee
1932 "Outstanding Production" Skippy "Paramount Publix" Nominee
1932 "Outstanding Production" "Trader Horn" Metro-Goldwyn-Mayer Nominee
1933 "Outstanding Production" "Grand Hotel" Metro-Goldwyn-Mayer Winner
1933 "Outstanding Production" Arrowsmith "Samuel Goldwyn Productions" Nominee
1933 "Outstanding Production" "Bad Girl" Fox Nominee
1933 "Outstanding Production" "The Champ" Metro-Goldwyn-Mayer Nominee
1933 "Outstanding Production" "Five Star Final" "First National" Nominee
1933 "Outstanding Production" "One Hour with You" "Paramount Publix" Nominee
1933 "Outstanding Production" "Shanghai Express" "Paramount Publix" Nominee
1933 "Outstanding Production" "The Smiling Lieutenant" "Paramount Publix" Nominee
1934 "Outstanding Production" Cavalcade Fox Winner
1934 "Outstanding Production" "A Farewell to Arms" Paramount Nominee
1934 "Outstanding Production" "42nd Street" "Warner Bros." Nominee
1934 "Outstanding Production" "I Am a Fugitive from a Chain Gang" "Warner Bros." Nominee
1934 "Outstanding Production" "Lady for a Day" Columbia Nominee
1934 "Outstanding Production" "Little Women" "RKO Radio" Nominee
1934 "Outstanding Production" "The Private Life of Henry VIII" "London Films" Nominee
1934 "Outstanding Production" "She Done Him Wrong" Paramount Nominee
1934 "Outstanding Production" "Smilin' Through" Metro-Goldwyn-Mayer Nominee
1934 "Outstanding Production" "State Fair" Fox Nominee
1935 "Outstanding Production" "It Happened One Night" Columbia Winner
1935 "Outstanding Production" "The Barretts of Wimpole Street" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" Cleopatra Paramount Nominee
1935 "Outstanding Production" "Flirtation Walk" "First National" Nominee
1935 "Outstanding Production" "The Gay Divorcee" "RKO Radio" Nominee
1935 "Outstanding Production" "Here Comes the Navy" "Warner Bros." Nominee
1935 "Outstanding Production" "The House of Rothschild" "20th Century" Nominee
1935 "Outstanding Production" "Imitation of Life" Universal Nominee
1935 "Outstanding Production" "One Night of Love" Columbia Nominee
1935 "Outstanding Production" "The Thin Man" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" "Viva Villa!" Metro-Goldwyn-Mayer Nominee
1935 "Outstanding Production" "The White Parade" "Jesse L. Lasky (production company)" Nominee
1936 "Outstanding Production" "Mutiny on the Bounty" Metro-Goldwyn-Mayer Winner
1936 "Outstanding Production" "Alice Adams" "RKO Radio" Nominee
1936 "Outstanding Production" "Broadway Melody of 1936" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "Captain Blood" Cosmopolitan Nominee
1936 "Outstanding Production" "David Copperfield" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "The Informer" "RKO Radio" Nominee
1936 "Outstanding Production" "Les Miserables" "20th Century" Nominee
1936 "Outstanding Production" "The Lives of a Bengal Lancer" Paramount Nominee
1936 "Outstanding Production" "A Midsummer Night's Dream" "Warner Bros." Nominee
1936 "Outstanding Production" "Naughty Marietta" Metro-Goldwyn-Mayer Nominee
1936 "Outstanding Production" "Ruggles of Red Gap" Paramount Nominee
1936 "Outstanding Production" "Top Hat" "RKO Radio" Nominee
1937 "Outstanding Production" "The Great Ziegfeld" Metro-Goldwyn-Mayer Winner
1937 "Outstanding Production" "Anthony Adverse" "Warner Bros." Nominee
1937 "Outstanding Production" Dodsworth "Samuel Goldwyn Productions" Nominee
1937 "Outstanding Production" "Libeled Lady" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "Mr. Deeds Goes to Town" Columbia Nominee
1937 "Outstanding Production" "Romeo and Juliet" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "San Francisco" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "The Story of Louis Pasteur" Cosmopolitan Nominee
1937 "Outstanding Production" "A Tale of Two Cities" Metro-Goldwyn-Mayer Nominee
1937 "Outstanding Production" "Three Smart Girls" Universal Nominee
1938 "Outstanding Production" "The Life of Emile Zola" "Warner Bros." Winner
1938 "Outstanding Production" "The Awful Truth" Columbia Nominee
1938 "Outstanding Production" "Captains Courageous" Metro-Goldwyn-Mayer Nominee
1938 "Outstanding Production" "Dead End" "Samuel Goldwyn Productions" Nominee
1938 "Outstanding Production" "The Good Earth" Metro-Goldwyn-Mayer Nominee
1938 "Outstanding Production" "In Old Chicago" "20th Century-Fox" Nominee
1938 "Outstanding Production" "Lost Horizon" Columbia Nominee
1938 "Outstanding Production" "One Hundred Men and a Girl" Universal Nominee
1938 "Outstanding Production" "Stage Door" "RKO Radio" Nominee
1938 "Outstanding Production" "A Star Is Born" "Selznick International Pictures" Nominee
1939 "Outstanding Production" "You Can't Take It with You" Columbia Winner
1939 "Outstanding Production" "The Adventures of Robin Hood" "Warner Bros.-First National" Nominee
1939 "Outstanding Production" "Alexander's Ragtime Band" "20th Century-Fox" Nominee
1939 "Outstanding Production" "Boys Town" Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "The Citadel" Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "Four Daughters" "Warner Bros.-First National" Nominee
1939 "Outstanding Production" "Grand Illusion" "Realization D'Art Cinematographique" Nominee
1939 "Outstanding Production" Jezebel "Warner Bros." Nominee
1939 "Outstanding Production" Pygmalion Metro-Goldwyn-Mayer Nominee
1939 "Outstanding Production" "Test Pilot" Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Gone with the Wind" "Selznick International Pictures" Winner
1940 "Outstanding Production" "Dark Victory" "Warner Bros.-First National" Nominee
1940 "Outstanding Production" "Goodbye, Mr. Chips" Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Love Affair" "RKO Radio" Nominee
1940 "Outstanding Production" "Mr. Smith Goes to Washington" Columbia Nominee
1940 "Outstanding Production" Ninotchka Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Of Mice and Men" "Hal Roach (production company)" Nominee
1940 "Outstanding Production" Stagecoach "Walter Wanger (production company)" Nominee
1940 "Outstanding Production" "The Wizard of Oz" Metro-Goldwyn-Mayer Nominee
1940 "Outstanding Production" "Wuthering Heights" "Samuel Goldwyn Productions" Nominee
1940 "Special Effects" "The Rains Came" "Fred Sersen, E. H. Hansen" Winner
1940 "Special Effects" "Gone with the Wind" "John R. Cosgrove, Fred Albin, Arthur Johns" Nominee
1940 "Special Effects" "Only Angels Have Wings" "Roy Davidson, Edwin C. Hahn" Nominee
1940 "Special Effects" "The Private Lives of Elizabeth and Essex" "Byron Haskin, Nathan Levinson" Nominee
1940 "Special Effects" "Topper Takes a Trip" "Roy Seawright" Nominee
1940 "Special Effects" "Union Pacific" "Farciot Edouart, Gordon Jennings, Loren Ryder" Nominee
1940 "Special Effects" "The Wizard of Oz" "A. Arnold Gillespie, Douglas Shearer" Nominee
1941 "Outstanding Production" Rebecca "Selznick International Pictures" Winner
1941 "Outstanding Production" "All This, and Heaven Too" "Warner Bros." Nominee
1941 "Outstanding Production" "Foreign Correspondent" "Walter Wanger (production company)" Nominee
